service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BFA20GEN-L045-Weekday-00,1,1,1,1,1,0,0,20210322,20210625
BFA20GEN-M089-Weekday-00,1,1,1,1,1,0,0,20210322,20210625
BFA20GEN-M089-Weekday-00-0111100,0,1,1,1,1,0,0,20210322,20210625
BFA20GEN-N093-Weekday-00,1,1,1,1,1,0,0,20210322,20210625
BFA20GEN-Q062-Weekday-00,1,1,1,1,1,0,0,20210322,20210625
BFA20GEN-R089-Weekday-00,1,1,1,1,1,0,0,20210322,20210625
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20210322,20210625
AFA20GEN-1038-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-2042-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-3039-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-4043-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-5043-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-6033-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-7023-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-A045-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-C025-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-D038-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-E041-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-F044-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-G036-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
AFA20GEN-GS011-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-H025-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-J032-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-L022-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-M024-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-N056-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
BFA20GEN-R051-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
SIR-SP2018-SI017-Saturday-00,0,0,0,0,0,1,0,20210327,20210626
CLIWI20GEN-C027-Sunday-00,0,0,0,0,0,0,1,20210531,20210531
